# pos	patient1-5371622	patient2-5371623	patient3-5371624	patient4-5371625	patient5-5371626	patient6-5371627	patient7-5371628	patient8-5371629	patient9-5371630	patient10-5371631	patient11-5371632	patient12-5371633	patient13-5371634	patient14-5371635	patient15-5371636	patient16-5371637	patient17-5371638	patient18-5371639	patient19-5371640	patient20-5371641	patient21-5371642	patient22-5371643	patient23-5371644	patient24-5371645
1832	8608	9338	1609	2071	4	6	1	1	6	11	1	1	858	1198	176	252	4900	5533	1081	1461	9078	9909	1529	2272
1833	8672	9378	1633	2094	4	6	1	1	6	11	1	1	858	1198	176	252	4904	5533	1083	1462	9085	9912	1498	2242
1834	8703	9443	1657	2121	4	6	1	1	6	11	1	1	858	1198	176	252	4902	5533	1084	1459	9032	9924	1488	2239
1835	8667	9385	1650	2110	4	6	1	1	6	11	1	1	858	1198	176	252	4874	5520	1082	1456	8882	9747	1450	2194
1836	8769	9502	1663	2099	4	6	1	1	6	11	1	1	858	1198	176	252	4870	5520	1081	1456	8742	9363	1428	2116
1837	8766	9539	1673	2101	4	6	1	1	6	11	1	1	858	1198	176	252	4844	5514	1073	1456	8772	9390	1444	2137
1838	8759	9551	1673	2102	4	6	1	1	6	11	1	1	856	1198	176	252	4684	5438	1052	1445	8804	9410	1438	2142
1839	8793	9586	1672	2096	4	6	1	1	6	11	1	0	856	1198	176	252	4650	5436	1050	1444	8765	9371	1439	2141
1840	8744	9570	1688	2126	4	6	1	1	5	10	1	0	856	1198	176	252	4642	5433	1049	1444	8755	9306	1440	2122
1841	8705	9584	1689	2130	4	6	1	1	5	10	1	0	855	1197	176	252	4638	5432	1049	1440	8856	9369	1465	2131
1842	8790	9653	1707	2146	4	6	1	1	5	10	1	0	855	1197	176	252	4638	5432	1049	1442	8865	9376	1469	2134
1843	8769	9637	1699	2146	4	7	1	1	5	10	1	0	855	1197	176	252	4622	5432	1050	1442	8853	9367	1446	2115
1844	8780	9667	1712	2165	4	7	2	1	6	10	0	0	855	1197	176	252	4763	5587	1091	1524	8843	9325	1447	2098
1845	8710	9669	1710	2170	4	7	2	1	6	10	0	0	855	1197	176	252	4772	5587	1099	1526	8788	9284	1433	2097
1846	8698	9663	1709	2167	4	7	2	1	6	10	0	0	855	1197	176	252	4773	5589	1099	1534	8786	9178	1437	2082
1847	8551	9521	1701	2143	4	7	2	1	6	10	0	0	855	1197	176	252	4779	5598	1103	1539	8714	9136	1434	2086
1848	8531	9542	1696	2137	4	7	2	1	6	10	0	0	858	1197	176	252	4781	5600	1103	1539	8747	9121	1435	2089
1849	8554	9539	1689	2133	4	7	2	1	6	10	0	0	858	1197	176	252	4707	5577	1102	1535	8663	9060	1423	2077
1850	8651	9684	1698	2144	4	7	2	1	6	10	0	0	858	1197	176	252	4722	5593	1103	1538	8685	9055	1431	2079
1851	8669	9611	1698	2135	4	7	2	1	6	10	0	0	859	1198	176	252	4741	5624	1112	1548	8542	8625	1400	1982
1852	8691	9656	1705	2151	4	7	2	1	6	10	0	0	859	1198	176	252	4741	5624	1112	1550	8417	8615	1387	1993
1853	8787	9686	1722	2162	4	7	2	2	6	11	0	1	859	1199	176	252	4711	5549	1115	1539	8364	8589	1374	1973
1854	8770	9662	1729	2165	4	7	2	2	6	11	0	1	859	1199	176	252	4731	5564	1115	1541	8295	8562	1356	1961
1855	8773	9643	1725	2166	4	6	2	2	6	10	0	1	859	1199	176	252	4741	5508	1115	1527	8124	8526	1341	1941
1856	8788	9652	1727	2165	5	6	2	2	6	11	0	1	863	1199	176	252	4728	5497	1109	1523	8101	8506	1339	1933
1857	8735	9587	1707	2137	5	7	2	2	6	11	0	1	864	1200	176	252	4665	5356	1102	1487	7778	8403	1310	1935
1858	8740	9590	1710	2141	5	7	2	2	6	11	0	1	866	1200	177	252	4634	5357	1096	1484	7802	8273	1317	1888
1859	8761	9618	1715	2147	5	7	2	2	6	11	0	1	1149	1423	302	391	4643	5371	1094	1484	7817	8307	1318	1897
1860	8767	9670	1714	2151	5	7	2	2	6	11	0	1	1152	1423	302	391	4643	5317	1089	1476	7814	8319	1327	1899
1861	8774	9691	1717	2161	5	7	2	2	6	11	0	2	1152	1423	302	391	4652	5334	1087	1477	7811	8322	1329	1901
1862	8775	9725	1719	2165	5	7	2	2	6	11	1	2	1152	1452	302	400	4644	5336	1085	1489	7843	8320	1323	1891
1863	8776	9744	1721	2168	5	7	2	2	6	11	1	2	1153	1452	302	400	4627	5338	1088	1489	7828	8355	1322	1896
1864	8814	9786	1746	2207	5	7	2	2	6	11	1	2	1153	1452	302	400	4640	5359	1092	1496	7832	8214	1325	1897
1865	8814	9742	1747	2205	5	7	2	2	6	11	1	2	1154	1452	302	400	4655	5318	1095	1488	7919	8168	1355	1924
1866	8822	9778	1746	2207	5	7	2	2	6	11	1	2	1154	1452	302	400	4668	5332	1097	1490	7949	8236	1351	1924
1867	8795	9729	1739	2187	5	7	2	2	6	11	1	2	1154	1452	302	400	4639	5306	1085	1480	7806	8039	1337	1872
1868	8772	9715	1745	2193	5	7	2	2	5	11	1	2	1202	1452	324	400	4583	5235	1080	1467	7782	8041	1342	1863
1869	8800	9727	1752	2212	5	7	2	2	6	11	1	2	1203	1452	324	400	4600	5239	1075	1471	7785	8043	1338	1864
1870	8814	9724	1746	2207	5	7	2	2	6	11	1	2	1203	1452	324	400	4605	5222	1082	1473	7776	7951	1325	1849
1871	8828	9763	1756	2210	5	7	2	2	6	11	1	2	1203	1452	324	400	4607	5227	1080	1475	7807	7934	1330	1883
1872	8832	9787	1764	2221	5	6	2	2	6	11	1	2	1203	1452	324	400	4606	5235	1080	1474	7742	7852	1323	1862
1873	8851	9802	1767	2223	5	6	2	2	6	11	1	2	1203	1452	324	400	4607	5255	1086	1482	7768	7865	1334	1865
1874	8817	9796	1762	2225	5	6	2	2	6	11	1	2	1205	1452	324	400	4651	5214	1080	1482	7721	7818	1350	1883
1875	8802	9779	1761	2225	5	6	2	2	6	11	1	2	1205	1452	324	400	4653	5214	1079	1478	7706	7812	1346	1879
1876	8777	9706	1756	2207	5	6	2	2	6	11	1	2	1205	1452	324	400	4647	5215	1081	1482	7557	7790	1328	1871
1877	8807	9751	1773	2230	5	6	2	2	5	10	1	2	1213	1452	339	400	4614	5207	1080	1482	7530	7699	1330	1855
1878	8799	9761	1775	2234	5	6	2	2	5	10	1	2	1213	1452	340	400	4613	5207	1079	1482	7464	7565	1304	1820
1879	8829	9792	1781	2239	5	6	2	2	5	10	1	2	1262	1509	340	424	4613	5212	1075	1482	7470	7566	1299	1824
1880	8826	9751	1781	2235	5	6	2	2	5	10	1	2	1264	1515	391	490	4574	5214	1075	1491	7449	7526	1294	1820
1881	8759	9717	1773	2232	5	6	2	2	5	10	1	2	1264	1515	391	490	4553	5203	1064	1490	7409	7521	1285	1817
1882	8762	9739	1770	2227	5	6	2	2	5	10	1	2	1266	1516	393	490	4545	5203	1062	1487	7395	7517	1289	1817
1883	8763	9729	1760	2217	5	6	2	2	5	10	1	2	1268	1516	393	490	4512	5163	1058	1484	7428	7542	1284	1832
1884	8724	9726	1754	2224	5	6	2	2	5	10	1	2	1269	1516	393	490	4447	5145	1046	1481	7376	7465	1278	1826
1885	8712	9697	1761	2219	5	6	2	2	5	10	1	2	1269	1516	394	490	4444	5148	1043	1482	7386	7532	1280	1827
1886	8692	9706	1759	2222	5	7	2	2	5	10	1	2	1269	1516	394	490	4469	5150	1038	1480	7387	7528	1277	1827
1887	8674	9704	1754	2222	5	7	2	2	5	10	1	2	1269	1516	394	490	4425	5114	1032	1486	7352	7491	1278	1825
1888	8689	9738	1763	2223	5	7	2	2	5	10	1	2	1271	1516	395	490	4419	5116	1034	1486	7363	7490	1279	1823
1889	8681	9741	1763	2216	5	7	2	2	5	10	1	2	1271	1516	395	490	4392	5119	1030	1484	7389	7474	1270	1808
1890	8738	9802	1773	2223	5	7	2	2	5	10	1	2	1271	1516	395	490	4371	5160	1034	1490	7414	7462	1274	1803
1891	8732	9821	1757	2215	5	7	2	2	5	10	1	2	1272	1517	395	490	4371	5175	1031	1491	7435	7488	1284	1819
1892	8721	9829	1759	2256	5	7	2	2	5	10	1	2	1272	1518	396	490	4377	5193	1035	1499	7375	7512	1279	1823
1893	8715	9822	1761	2258	5	7	2	2	5	10	1	2	1272	1518	396	490	4355	5192	1035	1500	7405	7516	1281	1824
1894	8723	9810	1774	2261	5	7	2	2	5	10	1	2	1272	1518	396	490	4347	5155	1043	1506	7416	7528	1294	1844
1895	8672	9748	1773	2245	5	7	2	2	5	10	1	2	1272	1518	396	490	4312	5154	1041	1506	7373	7503	1291	1844
1896	8684	9766	1782	2256	5	7	2	2	5	10	1	2	1272	1518	396	490	4310	5160	1039	1507	7418	7541	1295	1841
1897	8698	9719	1785	2249	5	7	2	2	5	10	1	2	1272	1518	396	490	4311	5171	1043	1514	7427	7599	1304	1852
1898	8688	9674	1796	2253	5	8	2	2	5	10	1	2	1270	1518	396	490	4255	5166	1047	1519	7396	7608	1310	1877
1899	8704	9677	1798	2253	5	8	2	2	5	10	1	2	1269	1518	395	490	4239	5174	1042	1515	7391	7607	1313	1887
1900	8703	9688	1797	2251	5	8	2	2	5	10	1	2	1267	1518	394	490	4235	5195	1033	1514	7392	7542	1315	1870
1901	8688	9575	1793	2230	5	8	2	2	5	9	1	2	1266	1518	394	490	4233	5182	1032	1512	7383	7542	1314	1862
1902	8698	9493	1792	2214	5	8	2	2	5	9	1	2	1264	1518	393	490	4248	5185	1036	1512	7401	7582	1317	1868
1903	8723	9533	1790	2226	5	8	2	2	5	9	1	2	1258	1518	392	490	4237	5187	1033	1513	7411	7644	1323	1890
1904	8728	9528	1786	2227	5	8	2	2	5	9	1	2	1255	1518	392	490	4191	5182	1030	1513	7397	7642	1320	1878
1905	8743	9512	1799	2234	5	8	2	2	5	9	1	2	1266	1518	393	490	4133	5186	1028	1520	7437	7645	1321	1877
1906	8756	9558	1798	2243	5	8	2	2	5	9	1	2	1258	1518	391	490	4148	5222	1034	1538	7333	7697	1324	1915
1907	8802	9598	1814	2265	5	8	2	2	5	9	1	2	1255	1518	389	490	4140	5242	1036	1536	7350	7662	1327	1917
1908	8734	9505	1811	2251	5	8	2	2	5	9	1	2	1254	1518	377	481	4139	5242	1037	1536	7306	7603	1320	1906
1909	8739	9517	1812	2250	5	8	2	2	5	9	1	2	1248	1518	375	481	4129	5253	1038	1540	7328	7478	1324	1878
1910	8759	9506	1820	2259	6	8	2	2	5	9	1	3	1239	1518	375	481	4112	5252	1031	1535	7336	7413	1321	1870
1911	8727	9495	1819	2258	6	8	2	2	5	9	1	3	1239	1518	375	481	4095	5240	1033	1544	7335	7412	1323	1870
1912	8726	9522	1824	2271	6	8	2	2	5	9	1	3	1237	1518	375	481	4074	5239	1031	1545	7334	7432	1330	1877
1913	8743	9574	1832	2291	6	8	2	2	5	11	1	3	1236	1524	374	481	4056	5221	1027	1545	7341	7472	1330	1893
1914	8743	9564	1833	2300	6	8	2	2	5	11	2	4	1238	1524	375	481	4068	5221	1031	1553	7373	7502	1332	1900
1915	8744	9574	1831	2307	6	8	2	2	5	11	2	4	1152	1524	366	481	4047	5196	1019	1546	7355	7527	1330	1907
1916	8744	9609	1829	2317	6	8	2	2	5	11	2	4	1146	1524	363	481	4032	5198	1016	1546	7352	7532	1326	1901
1917	8741	9616	1827	2315	6	8	2	2	5	11	2	4	1146	1524	362	481	4031	5205	1015	1546	7417	7555	1332	1906
1918	8758	9620	1831	2325	6	8	2	2	5	11	2	4	1146	1524	362	481	4001	5165	1017	1543	7445	7576	1337	1922
1919	8731	9609	1830	2325	6	8	2	2	5	11	2	4	1145	1524	361	481	3992	5154	1017	1543	7418	7605	1336	1926
1920	8727	9675	1822	2328	6	8	2	2	5	11	2	4	1142	1524	353	481	3977	5145	1007	1540	7419	7709	1333	1925
1921	8740	9679	1821	2332	6	8	2	2	5	11	2	4	1141	1524	353	481	3969	5101	992	1516	7420	7722	1347	1943
1922	8697	9661	1815	2334	6	8	2	2	6	11	2	4	1120	1524	348	481	3889	5096	982	1515	7457	7762	1350	1947
1923	8701	9618	1821	2331	6	8	2	2	6	11	2	4	953	1524	342	481	3820	4954	961	1470	7481	7819	1348	1952
1924	8741	9636	1831	2340	6	8	2	2	6	11	2	4	953	1524	340	481	3823	4962	962	1468	7484	7820	1363	1944
1925	8729	9638	1829	2348	6	8	2	2	6	11	2	4	954	1524	340	481	3807	4899	958	1451	7518	7769	1370	1945
1926	8757	9784	1834	2356	6	8	2	2	6	12	2	4	954	1524	340	481	3801	4891	957	1449	7605	7878	1391	1950
1927	8740	9781	1833	2356	6	8	2	2	6	12	2	4	953	1524	339	481	3781	4890	954	1443	7610	7823	1388	1939
1928	8729	9773	1832	2353	6	8	2	2	6	12	2	4	953	1524	339	481	3776	4889	953	1442	7573	7703	1388	1920
1929	8730	9732	1819	2329	5	8	2	2	6	12	2	4	952	1524	334	475	3642	4687	894	1363	7565	7676	1389	1914
1930	8629	9721	1798	2326	5	6	2	2	6	12	2	4	950	1516	333	475	2722	3043	527	821	7530	7648	1365	1902
1931	8671	9762	1804	2326	5	6	2	2	6	12	2	4	950	1514	333	475	2693	3039	522	821	7525	7619	1364	1890
1932	8665	9709	1794	2313	5	6	2	2	6	12	2	4	950	1541	329	476	2696	3049	522	824	7555	7643	1366	1898
1933	8675	9722	1805	2353	5	6	2	2	6	12	2	4	950	1541	329	475	2706	3069	522	827	7749	7807	1413	1970
1934	8675	9719	1802	2356	5	6	2	2	6	12	2	4	949	1541	328	475	2706	3077	522	827	7766	7874	1423	1986
1935	8667	9717	1805	2355	5	6	2	2	6	12	2	4	949	1540	328	472	2706	3077	522	827	7843	7951	1433	1998
1936	8692	9733	1814	2367	5	6	2	2	6	12	2	4	949	1539	326	472	2689	3076	514	825	7877	7950	1442	2006
1937	8701	9761	1813	2371	5	6	2	2	6	12	2	4	948	1539	326	472	2710	3095	518	830	7960	8048	1446	2014
1938	8699	9784	1814	2374	5	6	2	2	6	12	2	4	948	1540	325	472	2711	3119	522	832	7943	8052	1453	2018
1939	8689	9777	1814	2391	5	6	2	2	6	12	2	4	948	1538	325	477	2732	3211	523	843	7925	8053	1452	2063
1940	8704	9871	1816	2392	5	6	2	2	6	12	2	4	946	1485	324	477	2881	3318	543	879	8083	8387	1451	2065
1941	8751	9932	1848	2395	5	7	2	2	6	12	2	4	980	1529	323	482	2912	3332	545	881	8075	8375	1454	2072
1942	8720	9936	1855	2392	5	7	2	2	6	12	2	4	980	1514	321	478	2943	3363	550	883	8061	8298	1457	2056
1943	8683	9949	1852	2402	5	7	2	2	6	12	2	4	1016	1513	325	478	2946	3381	550	886	8061	8406	1452	2071
1944	8643	9927	1842	2398	5	7	2	2	6	12	2	4	1012	1512	322	478	2952	3390	550	886	8053	8448	1451	2075
1945	8498	9873	1779	2362	5	7	2	2	6	12	2	4	992	1509	284	460	2960	3401	551	889	8082	8550	1446	2097
1946	8469	9866	1775	2357	5	8	2	2	6	12	2	4	1002	1633	285	479	2976	3420	553	895	8067	8714	1458	2123
1947	8397	9861	1755	2350	5	8	2	2	5	12	2	4	996	1654	282	455	2986	3452	555	900	8043	8775	1457	2132
1948	8441	9927	1761	2356	5	8	2	2	5	12	2	4	996	1654	283	455	2989	3469	556	907	8096	8822	1461	2149
1949	8555	9991	1794	2449	5	8	2	2	5	12	2	4	1073	1657	313	456	3038	3513	563	912	8082	8847	1456	2155
1950	8606	10077	1804	2466	5	8	2	2	5	12	2	4	1075	1658	313	456	3057	3531	571	912	8106	8916	1458	2163
1951	8587	10089	1802	2466	5	8	2	2	5	12	2	4	1079	1697	313	467	3031	3433	568	886	8088	8963	1463	2169
1952	8603	10130	1812	2479	5	8	2	3	5	12	2	4	1077	1464	312	428	3095	3480	574	897	7964	8944	1451	2160
1953	8554	10070	1805	2487	5	7	2	3	5	12	2	4	925	1332	302	387	3097	3495	576	900	7833	8836	1432	2140
1954	8598	10122	1816	2493	5	7	2	3	6	13	2	4	928	1333	302	387	3109	3529	576	906	7833	8821	1433	2138
1955	8582	10139	1839	2511	5	7	2	3	6	13	2	4	930	1334	301	388	3116	3529	580	911	7885	8858	1446	2139
1956	8553	10130	1840	2509	5	7	2	3	6	13	2	4	930	1394	301	403	3085	3450	580	890	7916	8855	1450	2143
1957	8616	10173	1854	2522	5	7	2	3	6	13	2	4	930	1395	301	410	3069	3418	578	873	7893	8859	1450	2153
1958	8592	10159	1846	2519	5	7	2	3	6	13	2	4	929	1438	299	410	3050	3446	576	873	7889	8900	1454	2156
1959	8486	10107	1844	2516	4	7	2	3	6	13	2	4	929	1439	299	410	2947	3281	574	825	7867	8872	1455	2161
1960	8539	10114	1857	2529	4	7	2	3	6	13	2	4	929	1441	299	412	2953	3289	575	823	7865	8942	1459	2166
1961	8438	10065	1849	2528	4	7	2	3	6	13	2	4	930	1440	298	412	2924	3255	573	820	7909	9037	1465	2182
1962	8432	10070	1844	2529	4	7	2	3	6	13	2	4	929	1440	297	412	2906	3239	569	818	7902	9043	1467	2199
1963	8386	10088	1844	2534	4	7	2	3	6	13	2	4	929	1441	297	412	2902	3245	565	817	8027	9138	1481	2208
1964	8310	10095	1833	2536	4	7	2	3	7	13	2	4	929	1441	297	412	2883	3201	563	808	8026	9151	1473	2209
1965	8311	10121	1829	2546	4	7	2	3	7	13	2	4	929	1430	296	411	2884	3220	561	810	8056	9227	1480	2215
1966	8278	10085	1818	2533	4	7	2	3	7	13	2	4	929	1415	295	407	2903	3224	566	810	8086	9253	1482	2210
1967	7990	9926	1811	2518	4	7	2	3	7	13	2	4	934	1422	296	410	2896	3192	563	801	8064	9352	1490	2228
1968	7986	9941	1813	2513	4	7	2	3	7	13	2	4	931	1423	295	410	2885	3199	560	801	8063	9381	1483	2229
1969	7971	9955	1803	2512	4	7	2	3	7	13	2	4	930	1423	295	410	2850	3178	516	785	8111	9456	1491	2241
1970	8001	9976	1803	2510	4	7	2	3	7	13	2	4	913	1424	292	410	2800	3064	517	761	8147	9479	1493	2242
1971	8008	9993	1802	2510	4	7	2	3	7	13	2	4	908	1426	291	410	2788	3027	514	748	8150	9465	1489	2230
1972	7926	9915	1778	2478	4	7	2	3	7	13	2	4	905	1426	291	410	2760	3042	513	750	8133	9488	1489	2233
1973	7908	9906	1778	2476	4	7	2	3	7	13	2	4	905	1426	290	411	2760	3036	514	749	8184	9525	1482	2217
1974	7905	9907	1778	2482	4	7	2	3	7	13	2	4	903	1427	290	411	2760	3079	514	751	8172	9615	1487	2230
1975	7989	9980	1790	2479	4	7	2	3	7	13	2	4	882	1427	290	411	2732	3046	514	744	8152	9596	1479	2222
1976	7933	9980	1795	2515	4	7	2	3	7	13	2	4	890	1439	291	433	2765	3081	516	743	8138	9632	1468	2239
1977	7989	10040	1822	2559	4	7	2	3	7	13	2	4	889	1439	292	433	2738	3076	497	728	8155	9658	1479	2243
1978	8019	10078	1851	2575	4	7	2	3	7	13	2	4	935	1501	306	433	2777	3115	501	735	8208	9812	1492	2261
1979	7984	10080	1849	2579	4	7	2	3	7	13	2	4	866	1502	303	433	2776	3154	500	742	8328	9913	1504	2293
1980	7974	10086	1851	2582	4	7	2	3	7	13	2	4	947	1588	327	456	2792	3153	504	736	8350	9903	1510	2283
1981	7872	10079	1845	2586	4	7	2	3	7	13	2	4	993	1641	335	456	2776	3155	504	736	8352	9967	1516	2293
1982	7801	10023	1844	2578	4	7	2	3	6	13	2	4	994	1641	334	456	2781	3183	509	746	8303	9966	1518	2291
1983	7799	10008	1852	2576	4	7	2	3	6	13	2	4	1000	1644	335	456	2797	3188	510	747	8332	9983	1516	2290
1984	7801	10008	1857	2584	4	7	2	3	6	13	2	4	1002	1645	336	456	2804	3187	510	749	8340	9934	1515	2282
1985	7825	10029	1860	2584	4	7	2	3	6	13	2	4	1001	1647	335	456	2807	3192	513	749	8348	9947	1522	2289
1986	7785	9958	1854	2572	4	7	2	3	6	13	2	4	1000	1647	335	456	2806	3197	515	753	8345	9890	1521	2277
1987	7805	9947	1872	2589	4	7	2	3	6	13	2	4	1000	1647	335	456	2813	3178	519	756	8336	9861	1512	2253
1988	7796	9985	1869	2595	4	7	2	3	6	13	2	4	999	1647	335	456	2819	3186	522	759	8384	9866	1534	2262
1989	7782	9984	1860	2593	4	7	2	3	6	13	2	4	999	1516	335	432	2822	3184	522	760	8384	9876	1527	2258
1990	7756	9948	1861	2588	4	7	2	3	6	13	2	4	912	1349	301	395	2835	3168	521	755	8382	9857	1535	2256
1991	7759	9926	1866	2587	4	7	2	3	6	13	2	4	911	1348	300	395	2831	3169	521	755	8431	9943	1549	2287
1992	7719	9862	1864	2571	4	7	2	3	6	13	2	4	908	1348	300	387	2797	3078	520	744	8422	9938	1549	2288
1993	7702	9796	1858	2555	4	7	2	3	6	12	2	4	906	1348	300	387	2789	3078	520	744	8416	9919	1550	2289
1994	7673	9754	1851	2551	4	7	2	3	6	12	2	4	906	1348	300	387	2801	3056	520	741	8389	9902	1549	2285
1995	7640	9716	1843	2539	4	7	2	3	6	12	1	3	908	1348	300	387	2797	3055	520	741	8320	9986	1544	2300
1996	7624	9716	1824	2523	4	7	2	3	6	12	1	2	907	1348	300	387	2804	3056	519	739	8308	10016	1526	2305
1997	7609	9704	1826	2528	4	7	2	3	6	12	1	2	908	1350	300	387	2807	3061	518	744	8284	9980	1525	2306
1998	7653	9692	1847	2535	4	7	2	3	6	12	1	2	908	1352	301	387	2811	3069	522	749	8233	9937	1533	2299
1999	7549	9463	1828	2492	4	7	2	3	6	12	1	2	908	1352	301	387	2800	3074	525	754	8189	9867	1539	2301
2000	7518	9456	1823	2493	4	7	2	3	6	12	1	2	908	1352	301	387	2802	3073	526	754	8185	9888	1543	2311
2001	7513	9462	1821	2492	4	7	2	3	6	12	1	2	908	1353	300	387	2806	3076	532	756	8234	9915	1548	2314
2002	7523	9451	1817	2489	4	7	2	3	6	12	1	2	908	1353	300	387	2819	3087	538	767	8215	9856	1548	2301
2003	7514	9421	1815	2485	4	7	2	3	6	12	1	2	908	1353	299	387	2818	3087	538	774	8183	9786	1539	2297
2004	7418	9291	1789	2450	4	7	2	3	6	12	1	2	908	1353	297	387	2812	3087	541	774	8109	9768	1545	2301
2005	7384	9263	1786	2448	4	7	2	3	6	12	1	2	908	1353	297	387	2780	3065	537	774	8094	9798	1542	2300
2006	7370	9294	1783	2454	4	7	2	3	6	12	1	2	907	1354	297	387	2773	3065	533	774	8052	9750	1539	2299
2007	7381	9277	1780	2456	4	7	2	3	6	12	1	2	907	1354	297	387	2771	3071	533	776	8042	9723	1530	2299
2008	7438	9252	1808	2491	4	7	2	3	6	12	1	2	873	1329	275	383	2773	3073	532	779	8088	9767	1538	2320
2009	7381	9164	1784	2460	4	7	2	3	6	11	1	2	873	1329	275	383	2742	3054	521	762	7998	9667	1514	2289
2010	7366	9160	1787	2445	4	7	2	3	6	11	1	2	873	1328	274	383	2717	3036	517	754	7916	9568	1506	2262
2011	7358	9167	1784	2448	4	7	2	3	6	11	1	2	873	1328	274	383	2717	3043	514	757	7971	9590	1429	2233
2012	7362	9151	1787	2450	4	7	2	3	6	11	1	2	873	1328	274	383	2712	3043	516	757	7822	9319	1438	2204
2013	7335	9164	1792	2477	4	7	2	3	6	11	1	2	873	1328	274	383	2768	2994	522	748	7799	9153	1453	2197
2014	7253	9006	1774	2448	4	7	2	3	6	11	1	2	873	1328	274	383	2750	2971	511	732	7411	8323	1433	2031
2015	7292	9076	1789	2449	4	7	2	3	6	11	1	2	872	1328	274	383	2743	2971	507	726	7405	8307	1433	2028
2016	7280	9075	1784	2452	4	7	2	3	6	11	1	2	872	1328	272	383	2742	2970	506	725	7373	8304	1429	2031
2017	7255	9125	1785	2455	4	7	2	3	6	11	1	2	872	1328	271	383	2713	2962	492	716	7435	8363	1435	2031
2018	7251	9136	1773	2453	4	7	2	3	6	11	1	2	872	1328	271	383	2713	2951	499	716	7466	8437	1426	2067
2019	7158	9057	1774	2434	4	7	2	3	6	11	1	2	872	1328	271	383	2743	2951	505	722	7409	8233	1396	1972
2020	7141	9040	1733	2421	4	7	2	3	6	11	1	2	872	1328	269	383	2824	2974	531	765	7416	8206	1401	1967
2021	7128	9042	1738	2450	5	7	3	4	6	11	1	2	872	1327	269	383	2829	2979	532	766	7403	8206	1395	1969
2022	7118	9043	1748	2467	5	7	3	4	6	11	1	2	872	1327	269	383	2903	2989	538	770	7354	8181	1390	1972
2023	7103	9004	1747	2460	5	7	3	4	6	11	1	2	872	1327	269	383	2916	2994	548	779	7285	8146	1388	1969
2024	6937	8737	1728	2391	5	7	3	3	6	11	1	2	872	1325	269	365	2917	2987	550	778	6954	7684	1378	1856
2025	6918	8728	1720	2395	5	7	2	3	6	11	1	2	867	1325	268	365	2912	2997	552	781	6972	7718	1332	1848
2026	6775	8668	1717	2386	5	7	1	3	6	11	1	2	866	1325	268	365	2899	2997	551	781	6909	7720	1331	1851
2027	6779	8661	1719	2388	5	7	1	3	7	11	1	2	866	1325	268	365	2891	2976	552	775	6914	7720	1328	1851
2028	6625	8515	1685	2361	5	7	1	3	7	11	1	2	866	1325	268	365	2817	2922	541	768	6868	7660	1321	1843
2029	6619	8477	1692	2352	5	7	1	3	7	11	1	2	861	1325	267	365	2858	2952	542	764	6890	7665	1320	1844
2030	6491	8450	1683	2345	5	7	1	3	6	11	1	2	805	1320	263	365	2805	2913	537	753	6885	7679	1317	1862
2031	6430	8363	1678	2332	5	7	1	3	6	11	1	2	802	1318	263	365	2797	2915	537	753	6888	7871	1304	1860
2032	6266	8109	1655	2284	5	7	1	3	6	11	1	2	802	1315	263	365	2693	2868	528	741	6932	7811	1307	1851
2033	6083	7856	1615	2224	5	7	1	3	6	11	1	2	802	1314	263	365	2644	2797	525	722	7002	7801	1319	1855
2034	5897	7485	1570	2139	5	7	1	3	6	11	1	2	802	1307	251	354	2627	2763	510	699	6969	7750	1313	1834
2035	5787	7433	1558	2126	5	7	1	3	6	11	1	2	802	1301	251	354	2598	2800	498	685	6966	7802	1314	1840
2036	5787	7379	1557	2118	5	7	1	3	7	11	1	2	800	1299	251	354	2571	2806	494	699	7085	7876	1328	1854
2037	5698	7290	1549	2099	5	7	1	3	7	11	1	2	794	1295	211	307	2573	2787	497	704	7084	7868	1332	1856
2038	5451	6915	1486	2001	5	7	1	3	7	11	1	2	794	957	211	231	2593	2666	495	684	7087	7895	1334	1865
2039	5369	6782	1482	1989	5	7	1	3	7	11	1	2	794	957	202	221	2567	2637	499	687	7090	7873	1333	1865
2040	5235	6508	1473	1949	5	7	1	3	7	10	1	2	794	956	186	206	2539	2601	500	687	7103	7935	1339	1855
2041	5125	6425	1449	1931	5	7	1	3	7	10	1	2	691	826	137	164	2542	2583	502	686	7062	7824	1316	1829
2042	4468	5008	1262	1559	5	7	1	2	7	9	1	2	669	800	130	157	2540	2582	501	683	7045	7829	1322	1849
2043	4439	4975	1261	1552	5	7	1	2	7	9	1	2	669	800	130	157	2539	2584	503	689	7098	7886	1339	1875
2044	4369	4832	1241	1515	5	7	1	2	7	9	1	2	668	800	130	157	2509	2589	502	690	7116	7880	1343	1874
2045	4358	4849	1242	1510	5	7	1	2	7	9	1	2	668	800	129	157	2506	2591	501	686	7132	7878	1345	1882
2046	4416	4843	1255	1508	5	7	1	2	7	9	1	2	668	799	129	157	2502	2568	501	684	7051	7863	1344	1879
2047	4394	4873	1233	1517	5	7	1	2	7	9	1	2	668	798	128	157	2522	2570	498	676	7024	7832	1341	1879
2048	4383	4839	1243	1530	5	7	1	2	7	9	1	2	668	798	128	157	2523	2603	499	676	7055	7849	1343	1881
2049	4345	4808	1241	1525	5	7	1	2	7	8	1	2	668	798	128	157	2518	2570	493	668	7037	7842	1332	1882
